DataType,StageID,TalkID,GroupID,ID,FriendID,TalkId,SendTime,Message,
Message,0,0,A,0,1,0,15:47,はじめまして！私はすでにこのメッセージが来ることを量子レベルで予測していたわ！,
Message,0,0,A,1,0,0,15:48,なんだってIQ130もあるんだからね！,
Message,0,0,A,2,0,0,15:48,え、予測できるの！？,
Message,0,0,A,3,1,0,15:49,当然よ！だって、宇宙は確率の波でできているのだから。私はその波さえ計算できればなんだってできるわ！ ,
Message,0,0,A,4,1,0,15:49,だからあなたが私に話しかける確率は72.8%だったわ！,
Message,0,0,A,5,1,0,15:50,これは運命かもしれない……いや、むしろ宇宙の法則ね！,
Message,0,0,B,0,1,0,,IQ130のことね！,
Message,0,0,B,1,1,0,,なに？疑ってるの？,
Message,0,0,B,2,1,0,,だったら証明して見せるわ！,
Message,0,0,B,3,1,0,,IQ130をもってすれば、今日食べた昼ごはんだってわかっちゃんだからね,
Message,0,0,B,4,0,0,,流石に難しいじゃないかな,
Message,0,0,B,5,1,0,,あなたの文体のリズム、会話のテンポ、そして直感で……,
Message,0,0,B,6,1,0,,『カレー』だわ！,ワード「カレー」を取得
Message,0,0,B,7,0,0,,全然違う,
Message,0,0,B,8,1,0,,うーん、IQ130の力をもってしても、私の直感がズレることがあるのね,
Message,0,0,B,9,1,0,,まあ、そういうこともあるわ！,
Message,0,0,C,0,1,0,,読書ね！,
Message,0,0,C,1,1,0,,量子力学の専門書からライトノベルまで！宇宙の真理と萌えの真理はすごいんだから！,
Message,0,0,C,2,0,0,,最近は何の本を読んだの？,
Message,0,0,C,3,1,0,,「猫は観測されるまで死んでるか生きてるか不明」って話が出てくる本！,
Message,0,0,C,4,1,0,,結論として、猫はかわいいってことが分かったわ！,
Message,0,0,C,5,0,0,,他に筆者が伝えたいことがあったんじゃないかな、、、,
Message,0,0,C,6,1,0,,なに？『猫』がかわいいかってことはとても大事なのよ！,ワード　猫
Message,0,0,D,0,1,0,,知ってる！,
Message,0,0,D,1,0,0,,即答！？,
Message,0,0,D,2,1,0,,IQ130の天才が可愛くないわけないじゃない！つまり、うちが可愛いのは論理的帰結よ！,
Message,0,0,D,3,1,0,,でも、顔を褒めるなんてあなたもまだまだね！,
Message,0,0,D,4,1,0,,うちにはこの明晰な頭脳さえあれば十分よ！,
Message,0,0,D,5,0,0,,ご、ごめん、、、,
Message,0,0,E,0,0,0,,話してるとすごく面白いし、発想が天才的だよね！,
Message,0,0,E,1,0,0,,ただ頭がいいだけじゃなくて、話してるとワクワクするというか…すごく魅力的だなって思うよ！,
Message,0,0,E,2,1,0,,そ、そう？ 天才って言われ慣れてるけど、そういう風に言われるのは初めてだわ！,
Message,0,0,E,3,1,0,,流石あなたね！,
Message,0,0,E,4,1,0,,うちの未知の魅力に気づいちゃうなんて！,
Message,0,0,F,0,1,0,,昨日部屋の大掃除をしたんだけど,
Message,0,0,F,1,1,0,,重いものをたくさん持ったせいか、腕と足がすごく痛くなったわ,
Message,0,0,F,2,1,0,,ねぇ、うちでもできる初心者に始めやすい運動はない？,
Message,0,0,G,0,1,0,,ジョギング……！？ ,
Message,0,0,G,1,1,0,,足を動かして前に進むやつね！,
Message,0,0,G,2,0,0,,まあ、そうだね,
Message,0,0,G,3,1,0,,これくらいなら私でもできるかも！,
Message,0,0,G,4,1,0,,いいことを聞いたわ！ 早速明日試すわ！,
Message,0,0,G,5,1,0,,あなたに聞いて正解だったわ！,
Message,0,0,H,0,1,0,,いくらIQ130の私でもいきなりそれは難しそうね、、、,
Message,0,0,H,1,1,0,,でも、意見をくれて助かったわ,
Message,0,0,H,2,1,0,,意見っていうのは多ければ多いほど信憑性が上がるもの！,
Message,0,0,I,0,1,0,,え？何を言っているの？,
Message,0,0,I,1,1,0,,うちは運動を聞いていたんだけど？,
Message,0,0,I,2,1,0,,あなたって変わってるのね！,
Message,0,0,J,0,1,0,,最近うちの研究室で『Own Craft』ってゲームが流行ってるだけれど,Own Craft
Message,0,0,J,1,1,0,,でもあれうちには納得できないわ！,
Message,0,0,J,2,1,0,,だって1㎥の物体を平気で持ち上げられるのよ！,
Message,0,0,J,3,1,0,,しかも宙にも浮くし！,
Message,0,0,J,4,1,0,,あなたもそう思うわよね？,
Message,0,0,K,0,1,0,,そうわよね！,
Message,0,0,K,0,1,0,,あなたとは意見が合いそうだわ！,
Message,0,0,L,1,0,0,,だってこれは『ゲーム』だから,ゲーム
Message,0,0,L,2,0,0,,ふつう起こりえないことが起こった方が面白いんじゃないかな,
Message,0,0,L,3,1,0,,たしかに、、、,
Message,0,0,L,4,1,0,,あなたはうちが絶対に考えないことを思いついてくれるわね、、,
Message,0,0,L,5,1,0,,流石だわ！,
Message,0,0,M,0,0,0,,一緒に図書館行かない？,
Message,0,0,M,1,1,0,,えっ、図書館！？ 行く！！ 絶対行く！！,
Message,0,0,M,2,0,0,,食い気味だね,
Message,0,0,M,3,1,0,,だって、知の殿堂よ！？ 本がいっぱい！！ 最高！！,
Message,0,0,M,4,1,0,,楽しみにしてるわ！,
