DataType,StageID,TalkID,GroupID,ID,FriendID,TalkId,SendTime,Message,
Message,0,3,A,0,0,3,02:01,イイねしてくれてありがとう！よろしくね！,
Message,0,3,A,2,4,3,02:02,こちらこそよ、よらしくおねかいしm,
Message,0,3,A,3,4,3,02:02,します,
Message,0,3,A,4,0,3,02:04,緊張してる？,
Message,0,3,A,5,4,3,02:05,僕普段人と会話しなくて、、、,
Message,0,3,A,6,0,3,02:07,友達だと思って気軽に話しかけてね！,
Message,0,3,A,7,4,3,02:07,(>﹏<｡Ξ),
Message,0,3,B,0,0,3,,『ゲーム』が好きなんだって？,ゲーム
Message,0,3,B,1,0,3,,どういうのをやってるの？,
Message,0,3,B,2,4,3,,基本は、なんでも,
Message,0,3,B,3,4,3,,RPGだったり、アクションだったりホラーだったり,
Message,0,3,B,4,4,3,,最近はFPSが多いかも、、,
Message,0,3,B,5,0,3,,もしかして今流行りの？,
Message,0,3,B,6,0,3,,『PALORANT』ってやつ？,PALORANT
Message,0,3,B,7,4,3,,そう。君も知ってるんだね,
Message,0,3,B,8,4,3,,細かい操作が要求されるからめちゃムズい,
Message,0,3,B,9,4,3,,気がづいたら時間溶けてる,
Message,0,3,B,10,4,3,,君もよかったらやってみて,
Message,0,3,C,0,0,3,,何かあるの？,
Message,0,3,C,1,4,3,,え、そんな自慢できるような趣味なんて,
Message,0,3,C,2,4,3,,あ、,
Message,0,3,C,3,4,3,,たま～に料理したりする,
Message,0,3,C,4,4,3,,前『カップラーメン』ばっか食べてたら、ママに怒られた,カップラーメン
Message,0,3,C,5,4,3,,あと体力ないから 『散歩』とかしろって、、、,散歩
Message,0,3,C,6,0,3,,料理できるなんてすごいよ！,
Message,0,3,C,7,0,3,,僕も時間がない時よく食べちゃってるなー,
Message,0,3,C,8,4,3,,いやいや！そんなすごいもんじゃないから！,
Message,0,3,C,9,4,3,,ほんと、たま～にやってるってだけで、、,
Message,0,3,C,10,0,3,,最近はなに作ったの？,
Message,0,3,C,11,4,3,,えっとね、、,
Message,0,3,C,12,4,3,,香草香るしっとり鶏むね肉の白ワイン低温ポシェ～焦がしバターのなめらかマッシュポテト,
Message,0,3,C,13,4,3,,って料理,
Message,0,3,C,14,0,3,,えぐ,
Message,0,3,C,15,4,3,,v(｡･ω･｡)ｨｪｨ♪,
Message,0,3,D,0,0,3,,小動物みたいな可愛さがあるね,
Message,0,3,D,1,0,3,,でもなんか画質悪くない？,
Message,0,3,D,2,4,3,,普段自撮りなんかしないから、、、,
Message,0,3,D,3,0,3,,とりあえずあった写真使った,
Message,0,3,D,4,0,3,,この写真なにで撮ったの？,
Message,0,3,D,5,4,3,,『3DS』,3DS
Message,0,3,D,6,0,3,,あ～～～なるほどね,
Message,0,3,D,7,0,3,,良く見つけたね,
Message,0,3,D,8,4,3,,ガンバッタ,
Message,0,3,D,9,4,3,,✌︎('ω')✌︎,
Message,0,3,E,0,4,3,,ほ゛し゛い゛あ゛い゛て゛む゛が゛で゛な゛い゛！！,
Message,0,3,Y,1,0,3,,ど、どうしたの？,
Message,0,3,Y,2,4,3,,ガチャですり抜けた、、、,
Message,0,3,Y,3,4,3,,せっかく石貯めたのに,
Message,0,3,Y,4,0,3,,まあそういうときもある,
Message,0,3,Y,5,4,3,,かくなる上は、、、,
Message,0,3,Y,6,4,3,,最後の手段をつかうしかない,
Message,0,3,Y,7,4,3,,＼( 'ω')／,
Message,0,3,Y,8,0,3,,最後の手段？,
Message,0,3,Y,9,4,3,,いくら入れようかな,
Message,0,3,Y,10,0,3,,あ・・・,
Message,0,3,Y,11,4,3,,『1000円』,MessageF Event3追加 『3000円』『10000円』メッセージ消
Message,0,3,Y,12,4,3,,『3000円』,MessageF Event4追加 『1000円』メッセージ消
Message,0,3,Y,13,4,3,,『10000円』,MessageF Event5追加  『1000円』『3000円』メッセージ消
Message,0,3,Y,14,4,3,,いくらがいいと思う？,
Message,0,3,F,0,4,3,,よっしゃ引いてくる,
Message,0,3,G,1,4,3,,ガチャ引いてきた！,
Message,0,3,G,2,4,3,,ほしいの出なかった、、、,
Message,0,3,G,3,4,3,,。゜(＞д＜)゜。,
Message,0,3,G,4,4,3,,『木の剣』なんて使わないよ、、、,Lv1 木の剣
Message,0,3,H,0,4,3,,ガチャ引いてきた！,
Message,0,3,H,1,4,3,,最後の一回でほしいアイテム出た！,
Message,0,3,H,2,4,3,,＼( 'ω')／ウオオオオオアアアーーーーッ！！！,
Message,0,3,H,3,4,3,,『金の剣』ｻｲｷｮ,Lv3 金の剣
Message,0,3,I,0,4,3,,ガチャ引いてきた！,
Message,0,3,I,1,4,3,,ほしいのは出たけど、、、,
Message,0,3,I,2,4,3,,『ダイヤの剣』3つもいらないよ～～～,Lv2 ダイヤの剣
Message,0,3,I,3,4,3,,(╯•﹏•╰),
Message,0,3,J,0,4,3,,相談なんだけど、、、,
Message,0,3,J,1,4,3,,『カップラーメン』を切らしちゃって,カップラーメン
Message,0,3,J,2,4,3,,料理しないといけないんだけど,
Message,0,3,J,3,4,3,,作る料理が思いつかなくって、、、,
Message,0,3,J,4,4,3,,何かおすすめの料理ないかな？,
Message,0,3,J,5,4,3,,簡単なものでいいよ！,
Message,0,3,K,0,4,3,,カレー！,
Message,0,3,K,1,4,3,,Σ(・ω・ノ)ノﾋﾟｯﾀﾘ,
Message,0,3,K,2,4,3,,それなら僕でも作れそう,
Message,0,3,K,3,4,3,,ありがとう！試してみるね,
Message,0,3,L,0,4,3,,う～ん,
Message,0,3,L,1,4,3,,それを夜ご飯にするのはちょっと違うんじゃ、、,
Message,0,3,L,2,4,3,,いや！僕が聞いたのに意見するのは違うよね！,
Message,0,3,L,3,4,3,,あ、ありがとう！参考にさせてもらうね！,
Message,0,3,L,4,4,3,,Σ((｡･ω･｡ ))),
Message,0,3,M,0,4,3,,ん？どゆこと？,
Message,0,3,M,1,4,3,,僕夜ご飯のことを聞いてたんだけど、、、,
Message,0,3,M,2,4,3,,いやいや！僕の文章が悪かったよね！,
Message,0,3,M,3,4,3,,き、気にしないで！,
Message,0,3,N,0,3,3,,い、忙しいよね！,
Message,0,3,N,1,3,3,,僕に構ってる時間なんてないよね,
Message,0,3,N,2,3,3,,ごめんね！気にしないで！,
Message,0,3,O,3,3,3,,デートしない？,
